# Native language names
# extracted from http://en.wikipedia.org/wiki/List_of_ISO_639-1_codes

aa	Afaraf
ab	Аҧсуа
ae	Avesta
af	Afrikaans
ak	Akan
am	አማርኛ
an	Aragonés
ar	|العربية
as	অসমীয়া
av	Авар мацӀ
ay	Aymar aru
az	Azərbaycan dili
ba	Башҡорт теле
be	Беларуская
bg	Български език
bh	भोजपुरी
bi	Bislama
bm	Bamanankan
bn	বাংলা
bo	བོད་ཡིག
br	Brezhoneg
bs	Bosanski Jezik
ca	Català
ce	Нохчийн Мотт
ch	Chamoru
co	Corsu
cr	ᓀᐦᐃᔭᐍᐏᐣ
cs	Česky
cu	Ѩзыкъ Словѣньскъ
cv	Чӑваш Чӗлхи
cy	Cymraeg
da	Dansk
de	Deutsch
dv	ދިވެހި
dz	རྫོང་ཁ
ee	Eʋegbe
el	Ελληνικά
en	English
eo	Esperanto
es	Español
et	Eesti
eu	Euskara
fa	فارسی
ff	Fulfulde
fi	Suomi
fj	Vosa Vakaviti
fo	Føroyskt
fr	Français
fy	Frysk
ga	Gaeilge
gd	Gaelic
gl	Galego
gn	Avañe'ẽ
gu	ગુજરાતી
gv	Gaelg, Gailck
ha	هَوُسَ
he	עברית
hi	हिन्दी, हिंदी
ho	Hiri Motu
hr	Hrvatski
ht	Kreyòl Ayisyen
hu	Magyar
hy	Հայերեն
hz	Otjiherero
ia	Interlingua
id	Bahasa Indonesia
ie	Interlingue
ig	Igbo
ii	ꆇꉙ
ik	Iñupiaq
io	Ido
is	Íslenska
it	Italiano
iu	ᐃᓄᒃᑎᑐᑦ
ja	日本語
jv	Basa Jawa
ka	ქართული
kg	KiKongo
ki	Gĩkũyũ
kj	Kuanyama
kk	Қазақ тілі
kl	kalaallisut
km	ភាសាខ្មែរ
kn	ಕನ್ನಡ
ko	한국어
kr	Kanuri
ks	कश्मीरी}}
ku	Kurdî
kv	Коми Кыв
kw	Kernewek
ky	Кыргыз Тили
la	Latine
lb	Lëtzebuergesch
lg	Luganda
li	Limburgs
ln	Lingála
lo	ພາສາລາວ
lt	Lietuvių Kalba
lv	Latviešu Valoda
mg	Malagasy Fiteny
mh	Kajin M̧ajeļ
mi	Te Reo Māori
mk	Македонски Јазик
ml	മലയാളം
mn	Монгол
mr	मराठी
ms	بهاس ملايو
mt	Malti
my	ဗမာစာ
na	Ekakairũ Naoero
nb	Norsk bokmål
nd	isiNdebele
ne	नेपाली
ng	Owambo
nl	Nederlands
nn	Norsk nynorsk
no	Norsk
nr	IsiNdebele
nv	Diné bizaad
ny	ChiCheŵa
oc	Occitan
oj	ᐊᓂᔑᓈᐯᒧᐎᓐ
om	Afaan Oromoo
or	ଓଡ଼ିଆ
os	Ирон æвзаг
pa	ਪੰਜਾਬੀ, 
pi	पाऴि
pl	Polski
ps	پښتو
pt	Português
pt-br   Português
qu	Runa Simi
rm	Rumantsch Grischun
rn	KiRundi
ro	Română
ru	Русский
rw	Ikinyarwanda
sa	संस्कृतम्
sc	Sardu
sd	सिन्धी}}
se	Davvisámegiella
sg	Yângâ Tî Sängö
si	සිංහල
sk	Slovenčina
sl	Slovenščina
sm	Gagana fa'a Samoa
sn	ChiShona
so	Soomaaliga
sq	Shqip
sr	Српски Језик
ss	SiSwati
st	Sesotho
su	Basa Sunda
sv	Svenska
sw	Kiswahili
ta	தமிழ்
te	తెలుగు
tg	Тоҷикӣ
th	ไทย
ti	ትግርኛ
tk	Türkmen
tl	Wikang Tagalog
tn	Setswana
to	Faka Tonga
tr	Türkçe
ts	Xitsonga
tt	Татарча
tw	Twi
ty	Reo Mā`ohi
ug	Uyƣurqə
uk	Українська
ur	اردو
uz	O'zbek
ve	Tshivenḓa
vi	Tiếng Việt
vo	Volapük
wa	Walon
wo	Wollof
xh	IsiXhosa
yi	ייִדיש
yo	Yorùbá
za	Saɯ cueŋƅ
zh	中文
zh-tw	繁體中文
zu	IsiZulu
